text,department
I am experiencing dyspnea,CARDIOLOGY
"Emergency presentation: epigastric pain, vitals show elevated temperature 99.4F, severe pain score 10 out of 10",RHEUMATOLOGY
"Emergency presentation: weakness gi bleed, vitals show elevated temperature 99.1F",NEUROLOGY
I am experiencing head injury status post fall,CARDIOLOGY
"I have polycystic ovary syndrome On top of that, my periods are not regular Plus, i have pregnancy-related problems I also experience i have menstrual problems On top of that, i have mild period pain I also experience i experience heavy menstrual bleeding Additionally, my periods are barely there Also, my menstruation is overdue I also experience i have amenorrhea Additionally, i have persistent vaginal itching Plus, i feel dry in the vaginal area Furthermore, my acne is hormone-related I also experience i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"the room feels like it is spinning Plus, i have nausea On top of that, i feel a sharp pain in my chest I also experience i cannot breathe properly Additionally, my heart skips beats Plus, my pulse rate is inconsistent I also experience my BP readings are high Furthermore, i feel like I might faint Plus, i have a fast heartbeat Also, my heart rate is low On top of that, i have extreme fatigue On top of that, i have swelling in my legs Additionally, i feel chest tightness I also experience i have ankle edema I also experience i am drenched in sweat Also, i have upper back pain",CARDIOLOGY
"I have a high temperature Plus, i have a persistent cough I also experience i feel exhausted Additionally, i feel physically weak Additionally, i have been having headaches Furthermore, i am experiencing dizziness Plus, i have body pain On top of that, i have stomach pain Furthermore, i feel like I might throw up Additionally, i have been throwing up",GENERAL MEDICINE
"Patient with chief complaint of etoh hypoglycemia, assessed for asymptomatic hiv infection",GENERAL MEDICINE
"Patient with chief complaint of hematuria, assessed for essential primary hypertension",CARDIOLOGY
I am experiencing fatigue status post fall,ENDOCRINOLOGY
Patient presents with weakness,GENERAL MEDICINE
"Emergency presentation: toe pain, vitals show severe pain score 8 out of 10",CARDIOLOGY
"Patient with chief complaint of l foot pain wound evaluation, assessed for non pressure chronic ulcer oth prt left foot w unspecified severity",GASTROENTEROLOGY
Patient presents with status post cardiac arrest,CARDIOLOGY
"my back is very sore Furthermore, i feel numbness in my body Furthermore, i have difficulty walking Additionally, my joints hurt Also, i feel pain in my neck Plus, i have knee pain Additionally, i have a frozen shoulder Plus, my hip is stiff and painful On top of that, i feel deep bone pain Plus, i have muscle pain Plus, i have inflamed swollen joints I also experience my joints are stiff Furthermore, i cannot move my joint fully I also experience i fractured a bone Plus, i experience muscle fatigue and weakness Also, i have persistent tingling Additionally, i have heel pain Additionally, i have a sprain from sports",ORTHOPEDICS
"my infant is feverish On top of that, my baby has a persistent cough I also experience my child has cold symptoms Plus, my baby has a sore throat Plus, my baby has breathing difficulty Also, my baby cannot keep milk down On top of that, my baby has stomach pain Also, my baby's skin is irritated Plus, my infant had a fit On top of that, my baby is not feeding well I also experience my baby cries excessively I also experience my child is lethargic Plus, my child is not eating I also experience my baby has low birth weight Plus, my baby has delayed growth Also, my child is not meeting milestones Additionally, my infant cries from ear pain Additionally, my infant has jaundice On top of that, my baby is dehydrated Furthermore, my baby wheezes when breathing",PEDIATRICS
Patient presents with abdominal pain diarrhea vomiting,CARDIOLOGY
"my head hurts On top of that, i have vertigo-like dizziness Additionally, i have convulsions I also experience i have numbness I also experience i have tingling sensations Additionally, i cannot move my muscles properly I also experience i experience involuntary shaking Also, i have memory problems Furthermore, i am disoriented Additionally, i have poor balance and coordination Plus, i cannot walk properly Plus, i have difficulty with speech Plus, i have facial weakness Furthermore, i have lost consciousness Furthermore, i feel burning nerve pain On top of that, i have muscle stiffness I also experience i am clumsy On top of that, i have sleep problems",NEUROLOGY
"Patient with chief complaint of status post arrest, assessed for shock nos",GENERAL MEDICINE
"Patient with chief complaint of weakness gi bleed, assessed for gastrointestinal hemorrhage unspecified",NEUROLOGY
"Patient with chief complaint of abdominal distention, assessed for cirrhosis of liver nos",GASTROENTEROLOGY
"my back is very sore On top of that, i feel tingling and numb Also, i struggle to walk Also, i feel pain in my joints On top of that, i feel pain in my neck I also experience i have knee pain Additionally, i feel pain in my shoulder On top of that, i have hip joint pain Furthermore, my bones feel sore I also experience my muscles ache Furthermore, my joints are swollen Also, my joints feel rigid I also experience i cannot move my joint fully Additionally, my bone is broken Additionally, i experience muscle fatigue and weakness Additionally, i have persistent tingling Furthermore, i have heel pain I also experience i have a sports injury",ORTHOPEDICS
"I feel hot and feverish On top of that, i keep coughing Furthermore, i have fatigue I also experience i feel weak all over Furthermore, i have a throbbing headache Additionally, i feel lightheaded I also experience my body is sore I also experience i have abdominal cramps Also, i have an upset stomach with nausea Additionally, i have been throwing up",GENERAL MEDICINE
Patient presents with facial droop,ORTHOPEDICS
"I have a high temperature Plus, i have a dry cough On top of that, i have fatigue On top of that, my body feels weak Furthermore, my head hurts Furthermore, i am experiencing dizziness I also experience i feel achy all over On top of that, my stomach is hurting On top of that, i am feeling sick to my stomach On top of that, i have been throwing up",GENERAL MEDICINE
"I have cysts on my ovaries I also experience i have inconsistent menstrual cycles Also, i have problems with my pregnancy Also, i have problems during menstruation Plus, i have mild period pain On top of that, my periods are very heavy Furthermore, i have very light periods Plus, i have a delayed period I also experience i have a missed period I also experience i feel itchy down there Additionally, i have vaginal dryness Plus, i get acne due to hormones Plus, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"my back is very sore I also experience i feel tingling and numb Plus, i cannot walk properly Furthermore, i have painful joints Plus, my neck hurts On top of that, i have difficulty with my knee Additionally, i have shoulder pain I also experience i feel pain in my hip On top of that, i have bone pain Furthermore, i feel muscle soreness Also, my joints feel puffy and inflamed Plus, my joints are stiff I also experience i cannot move my joint fully Plus, i have a broken bone I also experience my muscle strength is declining Furthermore, i experience unusual tingling I also experience i have heel pain On top of that, i got injured while playing sports",ORTHOPEDICS
"I feel dizzy Additionally, i feel nauseous Furthermore, i have intermittent chest pain Plus, i cannot breathe properly On top of that, my heart skips beats Additionally, i feel pulse irregularity Additionally, i have high blood pressure Additionally, i feel like I am going to pass out Additionally, my heart beats very fast On top of that, i have a slow pulse rate Also, i can barely stay awake I also experience i have swelling in my legs Furthermore, my chest feels constricted Furthermore, my ankles feel swollen and painful On top of that, i have night sweats I also experience i have back pain",CARDIOLOGY
"Patient with chief complaint of status post arrest, assessed for tachycardia nos",CARDIOLOGY
Patient presents with r foot ulcer cellulitis,CARDIOLOGY
"I have a severe headache Additionally, the room feels like it is spinning Additionally, i have convulsions Also, i have numbness Plus, i experience tingling in my feet Also, i have progressive muscle weakness Additionally, my body shakes involuntarily I also experience i keep forgetting things On top of that, i feel confused Plus, i feel like I might fall Plus, i have difficulty walking Also, i have speech problems Also, my face droops On top of that, i blacked out Additionally, i experience shooting nerve pain Also, i have rigid muscles Also, i have trouble with fine motor tasks Also, i have sleep problems",NEUROLOGY
"my baby has a fever I also experience my baby has a persistent cough Plus, my child has cold symptoms Furthermore, my infant has throat pain Also, my baby is short of breath Also, my infant is vomiting Plus, my baby has a stomach ache Also, my baby's skin is irritated Additionally, my baby had a seizure I also experience my child refuses to eat On top of that, my baby cries excessively Also, my baby seems weak I also experience my baby has lost appetite Plus, my infant is too small Plus, my baby is smaller than expected On top of that, my infant has delayed development Plus, my baby has an ear infection On top of that, my infant has jaundice On top of that, my baby is dehydrated Additionally, my infant has wheezing",PEDIATRICS
"Patient with chief complaint of abdominal mass fever, assessed for peritoneal abscess",DERMATOLOGY
"Emergency presentation: dehydration nausea rash, vitals show heart rate 111 bpm",ENDOCRINOLOGY
"I have upper back pain I also experience parts of my body feel numb Also, i walk with difficulty Furthermore, i feel pain in my joints Furthermore, i have a stiff neck Also, i have knee pain Furthermore, my shoulder hurts Additionally, my hip hurts I also experience my bones feel sore I also experience i have muscle cramps and pain I also experience my joints are swollen Plus, i feel stiff in my joints Additionally, i have limited range of motion I also experience i have a stress fracture I also experience my muscle strength is declining Additionally, i have persistent tingling Furthermore, my heel hurts when I walk Additionally, i injured myself during exercise",ORTHOPEDICS
"Patient with chief complaint of right ear pain drainage, assessed for infec otitis externa nos",ENT
I am experiencing leg weakness abnormal ct,GENERAL MEDICINE
"I was diagnosed with PCOS On top of that, i have inconsistent menstrual cycles Also, i am having pregnancy complications Also, i have issues with my periods I also experience my period pain is mild Additionally, my periods are very heavy Furthermore, my menstrual flow is very light Also, i have a delayed period Additionally, i have amenorrhea Plus, my vaginal area is very itchy Plus, i feel dry in the vaginal area I also experience my acne is hormone-related Additionally, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"Patient with chief complaint of foot laceration, assessed for open wound of foot",DERMATOLOGY
"Emergency presentation: cough dyspnea, vitals show elevated temperature 100.2F, heart rate 106 bpm",GENERAL MEDICINE
"Patient with chief complaint of car vs pole, assessed for mv coll w oth obj driver",GENERAL MEDICINE
"Patient with chief complaint of b leg swelling, assessed for other specified soft tissue disorders",RHEUMATOLOGY
"Emergency presentation: left leg pain status post fall, vitals show severe pain score 7 out of 10",GENERAL MEDICINE
"my baby feels very hot Additionally, my child has a cough On top of that, my infant has a cold Plus, my child is complaining of throat pain I also experience my baby is short of breath I also experience my baby is vomiting I also experience my infant has abdominal pain On top of that, my infant has a red rash Additionally, my infant had a fit Furthermore, my baby has poor appetite Plus, my child cries all the time Additionally, my baby seems weak Additionally, my infant has no appetite Plus, my infant is too small I also experience my child is not growing properly On top of that, my child is not meeting milestones Plus, my infant cries from ear pain I also experience my baby has yellow skin Plus, my child is not drinking enough fluids Also, my baby wheezes when breathing",PEDIATRICS
"Severe shortness of breath, asthma attack flare-up, and coughing up mucus.",PULMONOLOGY
"I have been having headaches I also experience i feel lightheaded I also experience i experienced a seizure I also experience parts of my body feel numb Additionally, i have pins and needles feeling Additionally, my muscles feel weak I also experience my hands are shaking Plus, i have memory loss Also, i feel confused Also, i feel unsteady Additionally, i have trouble walking Plus, i have trouble speaking Plus, i have facial paralysis On top of that, i have lost consciousness Plus, i feel burning nerve pain Also, my muscles feel stiff Additionally, i have trouble with fine motor tasks Additionally, i have sleep problems",NEUROLOGY
"I have back pain Additionally, i feel tingling and numb On top of that, i have difficulty walking On top of that, my joints hurt Furthermore, i have a stiff neck I also experience my knee hurts On top of that, i have a frozen shoulder Also, my hip hurts I also experience i feel deep bone pain I also experience i have muscle cramps and pain I also experience my joints are swollen Furthermore, i have joint stiffness Additionally, i cannot move my joint fully I also experience i have a broken bone Furthermore, my muscles are getting weaker Plus, i experience unusual tingling Also, i have plantar fasciitis-like heel pain On top of that, i have a sprain from sports",ORTHOPEDICS
"I feel unsteady and dizzy Additionally, i have an upset stomach with nausea Furthermore, my chest hurts I also experience i am short of breath Also, my heart skips beats Plus, i have an irregular pulse Also, i have been diagnosed with high blood pressure On top of that, i have episodes of fainting Plus, i have a fast heartbeat I also experience i have a slow pulse rate Furthermore, i can barely stay awake I also experience i have leg edema On top of that, i have a tight feeling in my chest On top of that, my ankles feel swollen and painful Also, i am sweating excessively Also, i have upper back pain",CARDIOLOGY
"Emergency presentation: anemia, vitals show tachypnea respiratory rate 26",PULMONOLOGY
"I have cysts on my ovaries Also, my menstrual cycle is irregular Also, i am having pregnancy complications I also experience i have problems during menstruation I also experience i have mild period pain Also, i have menorrhagia Furthermore, my periods are barely there Also, my period is late Furthermore, my period did not come this month Additionally, my vaginal area is very itchy Also, i feel dry in the vaginal area Furthermore, i have persistent acne from hormonal imbalance Plus, i feel pain in my lower abdomen",GYNECOLOGY & OBSTETRICS
"Patient with chief complaint of psychiatric hold, assessed for diabetes uncompl juven",ENDOCRINOLOGY
"Patient with chief complaint of abdominal pain, assessed for mech compl of other urinary catheter initial encounter",UROLOGY
"my baby feels very hot Furthermore, my baby is coughing Also, my baby has a cold Additionally, my baby's throat is sore Additionally, my child is struggling to breathe Plus, my baby cannot keep milk down Furthermore, my infant has abdominal pain Also, my baby has a skin rash Additionally, my child is having convulsions Additionally, my baby is not feeding well Plus, my infant cries uncontrollably Plus, my infant appears weak and floppy Furthermore, my baby refuses to eat I also experience my baby is underweight I also experience my infant has growth issues Furthermore, my baby is developing slowly Additionally, my child is pulling at their ear I also experience my baby has yellow skin Furthermore, my baby has dry mouth and no tears On top of that, my child has a wheezing sound when breathing",PEDIATRICS
I am experiencing transfer abnormal ekg,CARDIOLOGY
Patient presents with transfer pe,PULMONOLOGY
"I have PCOS Furthermore, i have irregular periods Also, i have pregnancy-related problems Additionally, i have issues with my periods Also, my period pain is mild Additionally, my periods are very heavy Furthermore, i have scanty periods Also, my period is late Plus, i have amenorrhea On top of that, my vaginal area is very itchy Additionally, i experience vaginal dryness Also, my acne is hormone-related Additionally, i have pain in my lower stomach area",GYNECOLOGY & OBSTETRICS
"I have PCOS Furthermore, i have irregular periods Plus, i am experiencing issues during pregnancy I also experience i have menstrual problems I also experience i feel slight cramps during my period On top of that, my periods are very heavy I also experience i have scanty periods Also, my period is late Furthermore, i missed my period Furthermore, i have persistent vaginal itching Furthermore, i feel dry in the vaginal area Furthermore, my acne is hormone-related I also experience i feel pain in my lower abdomen",GYNECOLOGY & OBSTETRICS
"I have back pain On top of that, i feel tingling and numb Additionally, i have trouble walking Also, my joints are aching On top of that, i have neck pain Plus, i have difficulty with my knee On top of that, my shoulder hurts On top of that, i have hip pain Additionally, i have persistent bone pain Also, i have muscle pain Furthermore, my joints are swollen Plus, i feel stiff in my joints Also, i cannot move my joint fully Plus, my bone is broken Plus, i have progressive muscle weakness I also experience i feel tingling throughout my body On top of that, my heel hurts when I walk Also, i injured myself during exercise",ORTHOPEDICS
I am experiencing urinary retention lower abdominal pain,ORTHOPEDICS
"my body temperature is high Also, i keep coughing Additionally, i am constantly fatigued Additionally, i feel drained and weak On top of that, i have persistent head pain Also, i am experiencing dizziness On top of that, i feel achy all over I also experience my abdomen hurts Additionally, i feel like I might throw up On top of that, i am throwing up",GENERAL MEDICINE
"Patient with chief complaint of eye pain, assessed for visual discomfort bilateral",OPHTHALMOLOGY
"my infant is feverish Additionally, my child has a cough I also experience my child has cold symptoms I also experience my baby's throat is sore On top of that, my child is struggling to breathe On top of that, my infant is vomiting I also experience my baby has a stomach ache On top of that, my baby's skin is irritated Additionally, my infant had a fit Furthermore, my infant is not drinking milk properly On top of that, my baby cries excessively Plus, my child is lethargic Plus, my baby refuses to eat On top of that, my infant is too small On top of that, my infant has growth issues Furthermore, my child is not meeting milestones Additionally, my baby has an ear infection Plus, my child looks jaundiced I also experience my baby is dehydrated Additionally, my baby wheezes when breathing",PEDIATRICS
I am experiencing hyperglycemia overdose,GENERAL MEDICINE
"the room feels like it is spinning Additionally, i have an upset stomach with nausea I also experience my chest feels tight and painful Plus, i have trouble catching my breath On top of that, my heart is beating fast On top of that, i have an uneven heartbeat Plus, my BP readings are high Furthermore, i have episodes of fainting On top of that, i have a rapid pulse Plus, my heart rate is low Furthermore, i feel utterly exhausted On top of that, i have leg edema On top of that, i have a tight feeling in my chest Plus, my ankles are puffy On top of that, i have night sweats Additionally, my back hurts",CARDIOLOGY
"I have polycystic ovary syndrome On top of that, i have inconsistent menstrual cycles Furthermore, i am experiencing issues during pregnancy Plus, i have issues with my periods Also, i feel slight cramps during my period Furthermore, i have menorrhagia Additionally, i have scanty periods I also experience i have a delayed period Furthermore, i missed my period Additionally, i have vaginal itching I also experience i have vaginal dryness Furthermore, i get acne due to hormones Additionally, i feel pain in my lower abdomen",GYNECOLOGY & OBSTETRICS
"Emergency presentation: t spine bone fracture displacement, vitals show elevated temperature 99.5F, heart rate 104 bpm",ORTHOPEDICS
"Patient with chief complaint of left leg pain status post fall, assessed for fall on same level unspecified initial encounter",ORTHOPEDICS
"Patient with chief complaint of dislodged abdominal tube, assessed for accident nos",GENERAL MEDICINE
"I have persistent head pain Plus, i am experiencing dizziness Plus, i have had seizures On top of that, i have numbness in my extremities Plus, i experience tingling in my feet On top of that, i have progressive muscle weakness Plus, my body shakes involuntarily Furthermore, i have memory problems I also experience i am disoriented Additionally, i feel unsteady Furthermore, i cannot walk properly Furthermore, i cannot speak clearly Furthermore, i have facial weakness Plus, i have lost consciousness I also experience i experience shooting nerve pain Also, my muscles feel stiff On top of that, i am clumsy On top of that, i cannot sleep well",NEUROLOGY
"I have persistent head pain I also experience the room feels like it is spinning Plus, i experienced a seizure On top of that, i have numbness Also, i have pins and needles feeling Furthermore, i have muscle weakness Also, i experience involuntary shaking Plus, i have memory problems Plus, i feel confused Additionally, i have balance problems I also experience i struggle to walk I also experience i have speech problems Furthermore, one side of my face feels weak Furthermore, i have lost consciousness On top of that, i have sharp nerve pain Additionally, i have rigid muscles Plus, i am clumsy On top of that, i have insomnia",NEUROLOGY
I am experiencing chest pain nausea,CARDIOLOGY
"the room feels like it is spinning Plus, i feel nauseous Additionally, i feel a sharp pain in my chest Plus, i cannot breathe properly Also, i feel my heart pounding I also experience i feel pulse irregularity Plus, my blood pressure is elevated I also experience i fainted recently Plus, i have a rapid pulse On top of that, i have a slow heartbeat I also experience i am incredibly tired Plus, my legs are swollen Additionally, i feel chest tightness I also experience my ankles are puffy Furthermore, i am drenched in sweat Also, i have upper back pain",CARDIOLOGY
"Patient with chief complaint of nausea and vomiting, assessed for type 2 diabetes mellitus without complications",ENDOCRINOLOGY
"I have cysts on my ovaries Plus, i have irregular periods Plus, i am experiencing issues during pregnancy On top of that, i have menstrual problems Also, i feel slight cramps during my period Also, i have menorrhagia Plus, i have very light periods Plus, my menstruation is overdue Additionally, i missed my period On top of that, i have vaginal itching Furthermore, i experience vaginal dryness I also experience my acne is hormone-related On top of that, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"Emergency presentation: r foot ulcer cellulitis, vitals show elevated temperature 99.6F, heart rate 120 bpm, severe pain score 8 out of 10",CARDIOLOGY
"I feel unsteady and dizzy On top of that, i feel queasy Additionally, i have intermittent chest pain Plus, i am short of breath Furthermore, my heart skips beats I also experience my pulse rate is inconsistent I also experience i have hypertension I also experience i have been fainting Also, my heart rate is elevated Also, my heart beats slowly On top of that, i am incredibly tired Furthermore, my legs are swollen Also, i have a tight feeling in my chest On top of that, my ankles are puffy Plus, i have excessive sweating On top of that, i have back pain",CARDIOLOGY
"Emergency presentation: chest pain nausea, vitals show severe pain score 10 out of 10",CARDIOLOGY
I am experiencing facial numbness,CARDIOLOGY
I am experiencing picc line infection,GENERAL MEDICINE
"the room feels like it is spinning Also, i have nausea I also experience my chest feels tight and painful On top of that, i feel breathless Also, i have heart palpitations Additionally, my pulse rate is inconsistent I also experience i have high blood pressure Plus, i have been fainting On top of that, i have tachycardia Furthermore, my heart beats slowly Additionally, i have debilitating fatigue Furthermore, i have swelling in my legs Plus, my chest feels tight Plus, my ankles are swollen Also, i am sweating excessively Also, i have back pain",CARDIOLOGY
"I have vertigo-like dizziness Plus, i feel nauseous On top of that, i feel a sharp pain in my chest Additionally, i cannot breathe properly On top of that, i feel my heart pounding On top of that, i have an irregular pulse On top of that, i have hypertension Also, i feel like I might faint I also experience i have a rapid pulse Plus, my heart rate is low On top of that, i am incredibly tired Plus, my legs feel heavy and swollen Also, i have pressure and tightness in my chest Furthermore, my ankles are puffy Additionally, i am drenched in sweat Also, i have upper back pain",CARDIOLOGY
"I am experiencing dizziness Plus, i am feeling sick to my stomach I also experience i have chest pain I also experience i am short of breath On top of that, i have heart palpitations Additionally, i feel pulse irregularity Furthermore, my BP readings are high Additionally, i have episodes of fainting Furthermore, i have tachycardia I also experience i have a slow pulse rate On top of that, i have extreme fatigue Furthermore, i have leg edema Furthermore, i have pressure and tightness in my chest Also, my ankles are puffy On top of that, i am sweating excessively Plus, i have lower back pain",CARDIOLOGY
"I have a throbbing headache Additionally, i have vertigo-like dizziness Furthermore, i have had seizures I also experience i feel tingling and numb Furthermore, i have tingling sensations Plus, i cannot move my muscles properly Also, i experience involuntary shaking I also experience i have memory loss Additionally, i am disoriented Furthermore, i feel like I might fall I also experience i cannot walk properly Furthermore, my speech is slurred Furthermore, i have facial weakness Furthermore, i fainted and lost consciousness Also, i have nerve pain Also, i have muscle stiffness On top of that, i have poor coordination Also, i have insomnia",NEUROLOGY
"the room feels like it is spinning On top of that, i have an upset stomach with nausea On top of that, i have intermittent chest pain I also experience i am short of breath On top of that, i feel my heart racing Also, i have an irregular pulse Furthermore, i have hypertension Plus, i have episodes of fainting On top of that, i have a fast heartbeat Plus, i have a slow pulse rate Also, i feel utterly exhausted Furthermore, my legs feel heavy and swollen Additionally, my chest feels constricted Plus, my ankles feel swollen and painful Also, i have night sweats Additionally, i have lower back pain",CARDIOLOGY
Patient presents with anemia,PULMONOLOGY
"Patient with chief complaint of status post fall l shoulder pain, assessed for sicca syndrome unspecified",RHEUMATOLOGY
"my head hurts Furthermore, i feel dizzy Additionally, i have epilepsy-like seizures Furthermore, i feel numbness in my body Furthermore, i experience tingling in my feet Plus, i have muscle weakness On top of that, my hands are shaking Plus, i have memory loss Additionally, i feel muddled and confused Also, i have balance problems On top of that, i have difficulty walking Furthermore, i cannot speak clearly Additionally, my face droops On top of that, i have lost consciousness Additionally, i feel burning nerve pain I also experience i have rigid muscles Plus, i have poor coordination Also, i have sleep problems",NEUROLOGY
"Emergency presentation: lethargy shortness of breath, vitals show elevated temperature 100.2F, tachypnea respiratory rate 28",PULMONOLOGY
I am experiencing tachycardia hypoxia,CARDIOLOGY
"I feel unsteady and dizzy Plus, i have nausea Plus, my chest feels tight and painful Plus, i feel breathless Also, my heart is beating fast Also, i have an uneven heartbeat Plus, my BP readings are high Also, i have been fainting Furthermore, i have a rapid pulse Plus, i have a slow pulse rate Furthermore, i can barely stay awake I also experience i have leg edema Furthermore, i feel chest tightness I also experience i have ankle edema On top of that, i have excessive sweating I also experience my back hurts",CARDIOLOGY
I am experiencing hypotension,GENERAL MEDICINE
"Patient with chief complaint of chest pain transfer, assessed for chest pain unspecified",GENERAL MEDICINE
"I feel lightheaded On top of that, i feel like I might throw up On top of that, i have pressure in my chest Additionally, i have difficulty breathing Furthermore, i feel my heart racing Furthermore, my heartbeat is irregular I also experience i have high blood pressure Plus, i fainted recently Furthermore, i have tachycardia On top of that, i have bradycardia Also, i have debilitating fatigue Furthermore, my legs are swollen Furthermore, i feel chest tightness Additionally, my ankles are swollen Also, i am sweating excessively I also experience my back hurts",CARDIOLOGY
"I have back pain Additionally, parts of my body feel numb I also experience i have difficulty walking Furthermore, i feel pain in my joints Additionally, my neck hurts On top of that, my knee is swollen and painful On top of that, my shoulder hurts Additionally, my hip hurts I also experience i have bone pain I also experience i feel muscle soreness Furthermore, i have joint swelling I also experience i have trouble moving my joints Also, my movement is limited Furthermore, i have a broken bone Also, i experience muscle fatigue and weakness I also experience i have persistent tingling I also experience my heel hurts when I walk Additionally, i got injured while playing sports",ORTHOPEDICS
"I feel feverish On top of that, i have a wet cough I also experience i feel very tired Additionally, i lack strength Additionally, my head hurts Additionally, i have vertigo-like dizziness Plus, my whole body aches Furthermore, i have stomach pain Plus, i feel like I might throw up Plus, i am throwing up",GENERAL MEDICINE
"Patient with chief complaint of hematuria, assessed for urinary tract infection site not specified",UROLOGY
I am experiencing left leg pain status post fall,GENERAL MEDICINE
"I have lower back pain Furthermore, i feel numbness in my body Additionally, i cannot walk properly Additionally, i have joint pain I also experience my neck hurts Furthermore, i have knee pain Additionally, my shoulder is very sore Plus, my hip is stiff and painful Also, i have bone pain Additionally, i feel muscle soreness Also, my joints are swollen Plus, my joints feel rigid Also, i have restricted movement Plus, i have a stress fracture On top of that, my muscles are getting weaker On top of that, i experience unusual tingling Additionally, my heel hurts when I walk Furthermore, i injured myself during exercise",ORTHOPEDICS
"Patient with chief complaint of fatigue status post fall, assessed for dehydration",ENDOCRINOLOGY
"Patient with chief complaint of seizure, assessed for altered mental status",GENERAL MEDICINE
"my child has a high temperature Additionally, my infant is coughing a lot Furthermore, my baby has a cold On top of that, my baby has a sore throat Also, my child is struggling to breathe Furthermore, my child has been throwing up Additionally, my child is crying from stomach pain Also, my infant has a red rash I also experience my baby had a seizure On top of that, my infant is not drinking milk properly Furthermore, my child cries all the time I also experience my baby seems weak Furthermore, my baby refuses to eat On top of that, my child is not gaining weight properly Additionally, my infant has growth issues Furthermore, my infant has delayed development On top of that, my child is pulling at their ear Additionally, my baby has yellow skin I also experience my baby has dry mouth and no tears Plus, my infant has wheezing",PEDIATRICS
"Patient with chief complaint of hypotension, assessed for acute pancreatitis unspecified",GASTROENTEROLOGY
"I have PCOS Also, my periods are not regular On top of that, i have pregnancy-related problems Furthermore, i have issues with my periods Furthermore, my period pain is mild Also, my periods are very heavy Furthermore, i have scanty periods On top of that, my period has been delayed Also, i have a missed period Plus, my vaginal area is very itchy Additionally, i experience vaginal dryness Plus, i have hormonal acne Furthermore, my lower belly hurts",GYNECOLOGY & OBSTETRICS
"Patient with chief complaint of hypertension, assessed for hypertension nos",CARDIOLOGY
